frame_index,frame_name,num_features,added_features,dropped_features,dropout_ratio,tracked_before_filter,tracked_after_filter,grid_coverage,grid_occupied,grid_total,median_track_age,mean_track_age,long_track_ratio,median_fb_error,median_ncc,median_quality,mean_quality,median_visual_sigma,mean_visual_sigma,low_texture_feature_ratio,low_texture_track_age_median,low_texture_quality_median,mean_intensity,contrast,gradient_mean,laplacian_var,underexposed_ratio,overexposed_ratio,illumination_nonuniformity,local_contrast,flat_region_ratio,texture_score,blur_score,exposure_score,contrast_score,illumination_score,backscatter_score,highlight_shadow_score,grid_texture_score,underwater_score,degradation_score,image_quality,fundamental_inlier_ratio,homography_inlier_ratio,median_epipolar_error,median_homography_error,planar_score,tracker_mode,tracker_recovery_reason,tracker_recovered_count,track_health_score,track_health_reason,frontend_state_score,frontend_state_reason,semidense_acceptance,geometry_safe_acceptance,learned_mode_before_sparse_homography,learned_mode_after_sparse_homography,base_learned_mode_before_sparse_override,learned_mode_after_sparse_override,learned_mode_sparse_homography_allowed,learned_mode_sparse_homography_reason,last_loftr_sparse_homography_check_allowed,last_loftr_sparse_homography_check_reason,loftr_sparse_homography_allowed,loftr_sparse_homography_reason,semidense_raw_candidates,semidense_post_validate_candidates,semidense_accepted_candidates,semidense_queued_pending,semidense_grid_gain,semidense_new_cell_ratio,semidense_before_f_inlier,semidense_after_f_inlier,semidense_before_h_inlier,semidense_after_h_inlier,semidense_before_epipolar,semidense_after_epipolar,semidense_before_homography,semidense_after_homography,pending_loftr_count,pending_loftr_age_median,loftr_confirmed_promoted,klt_degeneracy_loftr_allowed,klt_degeneracy_loftr_reason,klt_degeneracy_loftr_score,scheduler_mode,scheduler_reason,geometry_mode,geometry_reason,planar_confidence,adaptive_geometry_model,klt_tracks,gftt_tracks,orb_tracks,orb_match_tracks,orb_recovery_tracks,lk_recovery_tracks,homography_recovery_tracks,xfeat_tracks,xfeat_recovery_tracks,xfeat_init_tracks,xfeat_confirmed_tracks,xfeat_star_tracks,xfeat_star_recovery_tracks,xfeat_star_init_tracks,xfeat_star_confirmed_tracks,superpoint_lightglue_tracks,superpoint_lightglue_recovery_tracks,superpoint_lightglue_init_tracks,superpoint_lightglue_confirmed_tracks,learned_memory_tracks,loftr_tracks,loftr_recovery_tracks,loftr_init_tracks,loftr_confirmed_tracks,candidate_bank_count,candidate_bank_coverage,candidate_bank_grid_gain,stable_candidate_grid_coverage,runtime_ms
0,datasets/prepared_new/uvvid_cannon_bottom/frame_000000.jpg,350,350,0,0.0,0,0,0.5833333333333334,14,24,1.0,1.0,0.0,0.0,1.0,0.5539433360099792,0.5539433360099792,1.3423806428909302,1.3423807621002197,0.0,nan,nan,153.7167510986328,36.2869987487793,12.436786651611328,165.95718383789062,0.0,0.0,0.2944251625210631,0.03115791268646717,0.625,0.4441709518432617,0.36879374186197916,1.0,0.8063777499728733,0.29337960994944856,0.47400231291022565,1.0,0.375,0.5539433610423289,0.4460566389576711,0.5539433610423289,0.0,0.0,nan,nan,0.0,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.0,n/a,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2262.870118021965
1,datasets/prepared_new/uvvid_cannon_bottom/frame_000002.jpg,350,82,82,0.2342857142857143,350,268,0.625,15,24,2.0,1.7657142877578735,0.0,0.03534088656306267,0.963465690612793,0.2725527286529541,0.31742626428604126,1.9119631052017212,1.89954674243927,0.0,nan,nan,153.6664581298828,36.28627395629883,13.100772857666016,169.41903686523438,0.0,0.0,0.29595897300570617,0.031099867075681686,0.5833333333333334,0.4678847449166434,0.3764867485894097,1.0,0.8063616434733073,0.28969846478630523,0.4738623378177484,1.0,0.41666666666666663,0.5623571864809765,0.43764281351902345,0.5623571864809765,0.8246268656716418,0.8694029850746269,0.4163187921660259,1.1690999277335619,1.0542973640194861,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6699685167917404,n/a,268,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2286.7628959938884
2,datasets/prepared_new/uvvid_cannon_bottom/frame_000004.jpg,350,76,76,0.21714285714285714,350,274,0.625,15,24,3.0,2.4885714054107666,0.0,0.03077847883105278,0.949303388595581,0.2754881978034973,0.3113010823726654,1.90178644657135,1.9216784238815308,0.0,nan,nan,154.02645874023438,36.28097152709961,12.905902862548828,171.11138916015625,0.0,0.0,0.29561197019090835,0.030889801681041718,0.5833333333333334,0.4609251022338867,0.3802475314670139,1.0,0.8062438117133246,0.29053127154182,0.4733260005863026,1.0,0.41666666666666663,0.5614658830179874,0.4385341169820126,0.5614658830179874,0.8722627737226277,0.7554744525547445,0.32184661817679744,1.162495181274448,0.8661077936672157,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.5528837235725165,n/a,274,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2294.88661698997
3,datasets/prepared_new/uvvid_cannon_bottom/frame_000006.jpg,350,77,77,0.22,350,273,0.625,15,24,4.0,3.1342856884002686,0.0,0.05024402588605881,0.9436313509941101,0.27751022577285767,0.30885934829711914,1.8948705196380615,1.9430040121078491,0.0,nan,nan,154.3118438720703,35.9948844909668,12.901368141174316,161.67556762695312,0.0,0.0,0.29421244303385413,0.030222881585359573,0.5833333333333334,0.46076314789908274,0.35927903917100695,1.0,0.7998863220214844,0.2938901367187501,0.4686315282501958,1.0,0.41666666666666663,0.5572192999783859,0.44278070002161407,0.5572192999783859,0.8205128205128205,0.7362637362637363,0.4090065891715693,1.1775362924224582,0.8973203349622704,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.5420437636972385,n/a,273,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2288.2153503596783
4,datasets/prepared_new/uvvid_cannon_bottom/frame_000008.jpg,350,82,82,0.2342857142857143,350,268,0.5833333333333334,14,24,5.0,3.640000104904175,0.5685714285714286,0.043892450630664825,0.9497063159942627,0.288175106048584,0.32231777906417847,1.8596007823944092,1.8911373615264893,0.002857142857142857,5.0,0.05000000074505806,154.37631225585938,35.79147720336914,12.813879013061523,162.49978637695312,0.0,0.0,0.29185125612745094,0.030829519033432007,0.5833333333333334,0.4576385361807687,0.36111063639322916,1.0,0.7953661600748698,0.2995569852941178,0.46775016874978037,1.0,0.41666666666666663,0.5569701171828203,0.4430298828171797,0.5569701171828203,0.7835820895522388,0.8544776119402985,0.46467100667455596,1.249744488562736,1.0904747988226375,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.653683032866036,n/a,268,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2375.838485080749
5,datasets/prepared_new/uvvid_cannon_bottom/frame_000010.jpg,350,85,85,0.24285714285714285,350,265,0.625,15,24,6.0,4.145714282989502,0.5714285714285714,0.04503316059708595,0.950963020324707,0.2988337278366089,0.33162370324134827,1.8262481689453125,1.8505319356918335,0.0,nan,nan,155.03358459472656,35.76760482788086,12.82095718383789,152.58692932128906,0.0,0.0,0.29004579731062347,0.030644521117210388,0.5833333333333334,0.4578913279942104,0.33908206515842015,1.0,0.7948356628417969,0.30389008645450366,0.4670644703236493,1.0,0.41666666666666663,0.5539618506675575,0.44603814933244246,0.5539618506675575,0.7283018867924528,0.7283018867924528,0.6718910924373259,1.2989523341089908,0.9999986269448904,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.5413109595398209,n/a,265,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2352.3361370898783
6,datasets/prepared_new/uvvid_cannon_bottom/frame_000012.jpg,350,77,77,0.22,350,273,0.625,15,24,7.0,4.711428642272949,0.5771428571428572,0.04843167960643768,0.9543039798736572,0.30438897013664246,0.3284021019935608,1.8095641136169434,1.8761831521987915,0.0,nan,nan,155.30079650878906,35.96605682373047,12.622241020202637,152.9683074951172,0.0,0.0,0.29044552672143076,0.03104231506586075,0.5833333333333334,0.4507943221500942,0.33992957221137154,1.0,0.7992457071940104,0.3029307358685662,0.47017356965577967,1.0,0.41666666666666663,0.5533040986704142,0.4466959013295858,0.5533040986704142,0.7985347985347986,0.6813186813186813,0.3929801826830104,1.3249496826311227,0.8532099407049825,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.4787839062209609,n/a,273,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2304.9736018292606
7,datasets/prepared_new/uvvid_cannon_bottom/frame_000014.jpg,350,78,78,0.22285714285714286,350,272,0.625,15,24,6.0,5.122857093811035,0.56,0.047963619232177734,0.9545979499816895,0.3172954320907593,0.3374406397342682,1.7724941968917847,1.8237531185150146,0.0,nan,nan,155.67869567871094,35.593170166015625,12.857901573181152,148.8589324951172,0.0,0.0,0.28825649785060514,0.030778035521507263,0.5833333333333334,0.4592107704707554,0.33079762776692706,1.0,0.7909593370225695,0.3081844051585477,0.46542974924198305,1.0,0.41666666666666663,0.5528664970202175,0.4471335029797825,0.5528664970202175,0.8235294117647058,0.7352941176470589,0.38402082296276396,1.3611806373045594,0.892856058674786,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.5329097259728913,n/a,272,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2329.530213959515
8,datasets/prepared_new/uvvid_cannon_bottom/frame_000016.jpg,350,66,66,0.18857142857142858,350,284,0.6666666666666666,16,24,6.5,5.708571434020996,0.58,0.04512210935354233,0.956763505935669,0.32036399841308594,0.3393418788909912,1.7640172243118286,1.7984167337417603,0.0,nan,nan,155.83753967285156,35.451690673828125,12.853198051452637,158.26095581054688,0.0,0.0,0.28564818737553616,0.031379178166389465,0.625,0.4590427875518799,0.3516910129123264,1.0,0.7878153483072917,0.3144443502987132,0.46522398816816735,1.0,0.375,0.5541469047462607,0.4458530952537393,0.5541469047462607,0.778169014084507,0.8802816901408451,0.4796015202250792,1.21805185435875,1.1312202657621926,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6873332282283012,n/a,284,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2279.390331823379
9,datasets/prepared_new/uvvid_cannon_bottom/frame_000018.jpg,350,61,61,0.1742857142857143,350,289,0.6666666666666666,16,24,6.0,6.174285888671875,0.6057142857142858,0.056837525218725204,0.9493609666824341,0.323360800743103,0.3398682773113251,1.7558436393737793,1.8106982707977295,0.0,nan,nan,155.45355224609375,35.36711883544922,13.469307899475098,166.2190399169922,0.0,0.0,0.2845736814012715,0.03145598620176315,0.5833333333333334,0.4810467106955392,0.36937564425998265,1.0,0.7859359741210937,0.31702316463694846,0.46445886479182674,1.0,0.41666666666666663,0.5643610031533391,0.43563899684666085,0.5643610031533391,0.7993079584775087,0.8131487889273357,0.3142101212754884,1.1021937081137618,1.0173147445715967,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6234223439476526,n/a,289,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2357.9530278220773
